good evening|مَساع الخَيْر||phrase|||
pleased to meet you|فُرْصة سَعيدة|||||
excuse me/you’re welcome|عَفْواً|||||
fine, well|بِخَيْر|||||
tired|تَعْبان|||||
perfect, great|تَمام|||||
news|خَبَر|أخْبار||||
left|شِمَال|||||
right|يَمِين|||||
what’s new? what’s going on?|ما أخْبلرُك؟|||||
how are you?|كَيفَ الحال؟|||||
where?|أَيْنَ|||||
capital|عاصِمة|عواصِم||||
television|تِلفاز|تِلفازات||||
newspaper|جَريدَة|جَراءِد||||
computer|حاسوب|حَواسين||||
you (m/f dual)|أنْتُما|||||
you (m pl)|أنْتُمْ|||||
you (f pl)|أنتُنَّ|||||
they (m/f dual)|هُما|||||
they (m pl)|هُمْ|||||
they (f pl)|هَنَّ|||||
we|نَحْنُ|||||
at, expresses possesion|عِندَ|||||
relative adjective|نِسْبَة|||||
state|وِلايَة|وِلايات||||
bicycle|دَرّاجَة|دَرّاجات||||
notebook|دَفتَر|دَفاتِر||||
watch, clock|ساعَة|ساعات||||
car|سَيّارَة|سَيّارات||||
pen, pencil|قَلَم|أقلام||||
book|كِتاب|كُتُب||||
town, city|مَدينَة|مُدُن||||
tape recorder|مُسَجَّلة|مُسَجَّلات||||
key|مِفْتاح|مَفاتيح||||
eyeglasses|نَظّارة|نَظّارات||||
telephone|هاتِف|هَواتِف|||m|
door|باب|أبْواب|||m|
calculator|حاسِبة|حاسِبات|||f|
bag|حَقيبة|حَقاءِب|||f|
picture|صورة|صُوَر|||f|
table|طاوِلة|طاوِلات|||f|
chair|كُرسِيّ|كَراسٍ|||m|
blackboard|لوْح|ألواح|||m|
pencil sharpener|مِبراة|مَبارٍ/مِبْرَيات|||f|
ruler|مِسْطَرة|مَساطِر|||f|
eraser|مِمْحاة|مَماحٍ/مِمْحَيات|||f|
window|نافِذة|نَوافِذ|||f|
sheet of paper|وَرَقة|وَرَقات|||f|
in front of|أمامَ|||||
behind|خَلْفَ|||||
beside|بِجانِب|||||
under|تَحْتَ|||||
over|فَوْقَ|||||
between|بَيْنَ|||||
in|في|||||
a little bit; slightly|قَليلاً|||||
professor, teacher|أسْتاذ|أساتِذَة|noun||m|1
too, also|أيْضاً||adv|||1
on, in, by, with, for|بِ||prep|||1
to learn|تَعَلَّمَ||verb|||1
university|جامِعَة|جامِعات|noun||f|1
side|جانِب||noun||m|1
wall|جَدار|جُدْران|noun||m|1
Aleppo|حَلَب||noun|places|f|1
mathematics, calculus|رياضِيّات||noun||f|1
of the sun, solar|شّمْسِيّ||adj|||1
thing|شَيء|أشْياء|noun||m|1
class|صَفّ|صُفوف|noun||m|1
male student|طالِب|طُلاّب|noun||m|1
female student|طالِبة|طالِبات|noun||f|1
on|عَلى||prep|||1
room|غُرْفَة|غُرَف|noun||f|1
you’re welcome/excuse me|عَفْواً||phrase|||1
of the moon, lunar|قَمَريّ||adj|||1
but (weak version)|لكِنْ||conj|||1
but (strong version)|لكِنَّ|||||1
if you would; please|لَوسَمَحْت|||||1
not|لَيْسَ|||||1
place; store|مَحَلّ||noun||m|1
with|مَعَ||conj|||1
found|مَوْجود||noun||m|1
there, there is/are|هُناكَ|||||1
and|وَ||conj|||1
literature|أدَب|آداب|||m|2
ground|أرْض|أراضٍ|||f|2
those (pl, dem)|أولائِكَ|||||2
house, home|بَيْت|بُيوت|||m|2
those (dual, nom)|تانِكَ|||||2
trade, business, commerce|تحِبارة||||f|2
that (sing, nom)|تِلكَ||||f|2
those (dual, acc/gen)|تَيْنِكَ|||||2
right, law|حَقّ|حُقوق|||m|2
that|ذلِكَ||||m|2
sport|رِياضَة|رِياضات|||f|2
of sports|رياضِيّ|||||2
medicine|طِبّ||||m|2
a number of, several|عِدَّةُ|||||2
science, discipline|عِلْم|عَلوم|||m|2
of science, scientific|عِلميّ|||||2
college|كُلّيَّة|كُلّيات|||f|2
language|لُغَة|لُغات|||f|2
of language, linguistic|لُغَويّ|||||2
laboratory|مُخْتبر|مُخْتبرات|||m|2
swimming pool|مَسْبَح|مَسابِح|||f|2
office|مَكْتَب|مَكاتِب|||m|2
library; bookstore; bookcase|مَكْتَبة|مَكْتَبات|||f|2
playground, sports field|مَلْعَب|مَلاعِب|||m|2
these (dual, nom)|هاتانِ||||f|2
these (dual, acc/gen)|هاتَيْنِ||||f|2
these (dual, nom)|هذانِ||||m|2
these (dual, acc/gen)|هذَيْنِ||||m|2
engineering|هَنْدَسَة||||f|2
these (pl)|هؤُلاءِ||||m|2
sorry (m, f)|آسِف، آسِفة|||||3
or (particle used in questions)|أَمْ|||||3
woman|اِمرأة|نِساء|noun||f|3
now|الآنَ|||||3
or (used with statements)|أو|||||3
card|بِطاقة|بِطاقات|||f|3
small town|بَلْدة|بَلْدات|||f|3
man|رَجُل|رِجال||||3
number|رَقْم|أرْقام|||m|3
plus|زاءِد||||m|3
to equal|سَكَنَ (يَسْكُنُ) سَكَن||verb|||3
to live, to reside|ساوى (يُساوي) مُساواة||verb|||3
(student) living, residence, dormitory|سَكَنُ (الطُلاّبِ)||||m|3
street|شارع|شَوارع|||m|3
to want, will|شاءَ (يَشاءُ) مَشيءة||verb|||3
apartment|شَقّة|شُقَق|||f|3
